scenario,probability,match,home_team,away_team,venue_node,date
0,0.02,73,Mexico,Qatar,STAD_LA,2026-06-28
0,0.02,74,Germany,South Korea,STAD_BOS,2026-06-29
0,0.02,75,Japan,Morocco,STAD_MTY,2026-06-29
0,0.02,76,Brazil,Netherlands,STAD_HOU,2026-06-29
0,0.02,77,France,Scotland,STAD_NY_NJ,2026-06-30
0,0.02,78,Ecuador,Norway,STAD_DAL,2026-06-30
0,0.02,79,South Africa,Ivory Coast,STAD_MEX,2026-06-30
0,0.02,80,England,Senegal,STAD_ATL,2026-07-01
0,0.02,81,USA,Sweden,STAD_SF,2026-07-01
0,0.02,82,Iran,Colombia,STAD_SEA,2026-07-01
0,0.02,83,DR Congo,Croatia,STAD_TOR,2026-07-02
0,0.02,84,Spain,Austria,STAD_LA,2026-07-02
0,0.02,85,Switzerland,Egypt,STAD_VAN,2026-07-02
0,0.02,86,Argentina,Uruguay,STAD_MIA,2026-07-02
0,0.02,87,Portugal,Turkey,STAD_KC,2026-07-03
0,0.02,88,Paraguay,Belgium,STAD_DAL,2026-07-03
1,0.02,73,Mexico,Bosnia,STAD_LA,2026-06-28
1,0.02,74,Ivory Coast,South Korea,STAD_BOS,2026-06-29
1,0.02,75,Netherlands,Morocco,STAD_MTY,2026-06-29
1,0.02,76,Brazil,Japan,STAD_HOU,2026-06-29
1,0.02,77,France,Scotland,STAD_NY_NJ,2026-06-30
1,0.02,78,Germany,Norway,STAD_DAL,2026-06-30
1,0.02,79,South Africa,Ecuador,STAD_MEX,2026-06-30
1,0.02,80,England,Senegal,STAD_ATL,2026-07-01
1,0.02,81,Turkey,Canada,STAD_SF,2026-07-01
1,0.02,82,Egypt,Colombia,STAD_SEA,2026-07-01
1,0.02,83,Uzbekistan,Croatia,STAD_TOR,2026-07-02
1,0.02,84,Spain,Algeria,STAD_LA,2026-07-02
1,0.02,85,Switzerland,Sweden,STAD_VAN,2026-07-02
1,0.02,86,Argentina,Uruguay,STAD_MIA,2026-07-02
1,0.02,87,Portugal,Paraguay,STAD_KC,2026-07-03
1,0.02,88,USA,Belgium,STAD_DAL,2026-07-03
2,0.02,73,Mexico,Switzerland,STAD_LA,2026-06-28
2,0.02,74,Germany,South Korea,STAD_BOS,2026-06-29
2,0.02,75,Netherlands,Morocco,STAD_MTY,2026-06-29
2,0.02,76,Brazil,Japan,STAD_HOU,2026-06-29
2,0.02,77,Norway,Scotland,STAD_NY_NJ,2026-06-30
2,0.02,78,Ivory Coast,France,STAD_DAL,2026-06-30
2,0.02,79,Czechia,Ecuador,STAD_MEX,2026-06-30
2,0.02,80,England,Senegal,STAD_ATL,2026-07-01
2,0.02,81,USA,Bosnia,STAD_SF,2026-07-01
2,0.02,82,Belgium,Algeria,STAD_SEA,2026-07-01
2,0.02,83,Colombia,Croatia,STAD_TOR,2026-07-02
2,0.02,84,Spain,Austria,STAD_LA,2026-07-02
2,0.02,85,Canada,Sweden,STAD_VAN,2026-07-02
2,0.02,86,Argentina,Uruguay,STAD_MIA,2026-07-02
2,0.02,87,Portugal,Ghana,STAD_KC,2026-07-03
2,0.02,88,Turkey,Egypt,STAD_DAL,2026-07-03
3,0.02,73,South Korea,Switzerland,STAD_LA,2026-06-28
3,0.02,74,Germany,Czechia,STAD_BOS,2026-06-29
3,0.02,75,Japan,Morocco,STAD_MTY,2026-06-29
3,0.02,76,Brazil,Netherlands,STAD_HOU,2026-06-29
3,0.02,77,France,Scotland,STAD_NY_NJ,2026-06-30
3,0.02,78,Ecuador,Norway,STAD_DAL,2026-06-30
3,0.02,79,Mexico,Ivory Coast,STAD_MEX,2026-06-30
3,0.02,80,England,Senegal,STAD_ATL,2026-07-01
3,0.02,81,USA,Bosnia,STAD_SF,2026-07-01
3,0.02,82,Belgium,Sweden,STAD_SEA,2026-07-01
3,0.02,83,Colombia,Croatia,STAD_TOR,2026-07-02
3,0.02,84,Spain,Austria,STAD_LA,2026-07-02
3,0.02,85,Canada,Paraguay,STAD_VAN,2026-07-02
3,0.02,86,Argentina,Uruguay,STAD_MIA,2026-07-02
3,0.02,87,Portugal,Ghana,STAD_KC,2026-07-03
3,0.02,88,Turkey,Egypt,STAD_DAL,2026-07-03
4,0.02,73,Czechia,Canada,STAD_LA,2026-06-28
4,0.02,74,Germany,South Korea,STAD_BOS,2026-06-29
4,0.02,75,Netherlands,Morocco,STAD_MTY,2026-06-29
4,0.02,76,Scotland,Japan,STAD_HOU,2026-06-29
4,0.02,77,France,Brazil,STAD_NY_NJ,2026-06-30
4,0.02,78,Ecuador,Norway,STAD_DAL,2026-06-30
4,0.02,79,Mexico,Ivory Coast,STAD_MEX,2026-06-30
4,0.02,80,England,Senegal,STAD_ATL,2026-07-01
4,0.02,81,Paraguay,Bosnia,STAD_SF,2026-07-01
4,0.02,82,Belgium,Turkey,STAD_SEA,2026-07-01
4,0.02,83,Colombia,Croatia,STAD_TOR,2026-07-02
4,0.02,84,Uruguay,Jordan,STAD_LA,2026-07-02
4,0.02,85,Switzerland,Sweden,STAD_VAN,2026-07-02
4,0.02,86,Argentina,Spain,STAD_MIA,2026-07-02
4,0.02,87,Portugal,Egypt,STAD_KC,2026-07-03
4,0.02,88,USA,Iran,STAD_DAL,2026-07-03
5,0.02,73,Czechia,Switzerland,STAD_LA,2026-06-28
