node_id,stadium_id,vol_led_m3,wt_led_t,vol_soft_m3,wt_soft_t,vol_total_m3,wt_total_t
STAD_NY_NJ,NY_NJ,67.0,66.625,118.4561,55.5578,185.4561,122.1828
STAD_MEX,MEX,67.0,66.625,107.2005,49.6563,174.2005,116.2813
STAD_DAL,DAL,67.0,66.625,126.2303,59.6088,193.2303,126.2338
STAD_KC,KC,67.0,66.625,115.0366,53.7304,182.0366,120.3554
STAD_HOU,HOU,67.0,66.625,109.8621,51.013,176.8621,117.638
STAD_ATL,ATL,67.0,66.625,109.334,50.7358,176.334,117.3608
STAD_LA,LA,67.0,66.625,105.2559,48.6256,172.2559,115.2506
STAD_SF,SF,67.0,66.625,104.6223,48.2928,171.6223,114.9178
STAD_SEA,SEA,67.0,66.625,107.2221,49.6266,174.2221,116.2516
STAD_BOS,BOS,67.0,66.625,107.0108,49.5156,174.0108,116.1406
STAD_PHI,PHI,67.0,66.625,107.2221,49.6266,174.2221,116.2516
STAD_MIA,MIA,67.0,66.625,103.3147,47.5747,170.3147,114.1997
STAD_GDL,GDL,67.0,66.625,81.117,35.9584,148.117,102.5834
STAD_MTY,MTY,67.0,66.625,86.925,39.0085,153.925,105.6335
STAD_VAN,VAN,67.0,66.625,87.981,39.5631,154.981,106.1881
STAD_TOR,TOR,67.0,66.625,77.2096,33.9063,144.2096,100.5313
