node_id,stadium_id,poste,class,volume_m3,weight_t
STAD_NY_NJ,NY_NJ,interior,soft,70.1277,35.679
STAD_NY_NJ,NY_NJ,seat_covers,soft,4.1523,1.3072
STAD_NY_NJ,NY_NJ,building_wraps,soft,12.3031,8.3815
STAD_NY_NJ,NY_NJ,vehicle_wraps,soft,0.5383,0.3845
STAD_NY_NJ,NY_NJ,led_perimeter,led,67.0,66.625
STAD_NY_NJ,NY_NJ,pitch_side,soft,0.6875,0.4375
STAD_NY_NJ,NY_NJ,wayfinding,soft,0.375,0.125
STAD_NY_NJ,NY_NJ,totems_alu,soft,8.75,3.5
STAD_NY_NJ,NY_NJ,masts,soft,3.75,1.5
STAD_NY_NJ,NY_NJ,fence_scrim,soft,14.75,2.6875
STAD_NY_NJ,NY_NJ,brand_scrub,soft,3.0222,1.5556
STAD_MEX,MEX,interior,soft,61.7974,31.4408
STAD_MEX,MEX,seat_covers,soft,3.6591,1.1519
STAD_MEX,MEX,building_wraps,soft,10.8416,7.3859
STAD_MEX,MEX,vehicle_wraps,soft,0.4743,0.3388
STAD_MEX,MEX,led_perimeter,led,67.0,66.625
STAD_MEX,MEX,pitch_side,soft,0.6875,0.4375
STAD_MEX,MEX,wayfinding,soft,0.375,0.125
STAD_MEX,MEX,totems_alu,soft,8.75,3.5
STAD_MEX,MEX,masts,soft,3.75,1.5
STAD_MEX,MEX,fence_scrim,soft,14.75,2.6875
STAD_MEX,MEX,brand_scrub,soft,2.1156,1.0889
STAD_DAL,DAL,interior,soft,73.9528,37.6251
STAD_DAL,DAL,seat_covers,soft,4.3788,1.3785
STAD_DAL,DAL,building_wraps,soft,12.9742,8.8387
STAD_DAL,DAL,vehicle_wraps,soft,0.5676,0.4054
STAD_DAL,DAL,led_perimeter,led,67.0,66.625
STAD_DAL,DAL,pitch_side,soft,0.6875,0.4375
STAD_DAL,DAL,wayfinding,soft,0.375,0.125
STAD_DAL,DAL,totems_alu,soft,8.75,3.5
STAD_DAL,DAL,masts,soft,3.75,1.5
STAD_DAL,DAL,fence_scrim,soft,14.75,2.6875
STAD_DAL,DAL,brand_scrub,soft,6.0444,3.1111
STAD_KC,KC,interior,soft,64.9425,33.0409
