origin_node_id,destination_node_id,edge_type,mode,distance_km,transit_time_days,cost_per_km_usd,border_crossing,border_cost_usd,allowed,distance_method,notes
DFW_DEPOT_NODE,EWR_DEPOT_NODE,depot_to_depot,road,2584.4,3.69,1.4,no,0,yes,openrouteservice_matrix_driving_hgv,
DFW_DEPOT_NODE,LAX_DEPOT_NODE,depot_to_depot,road,2234.2,3.19,1.4,no,0,yes,openrouteservice_matrix_driving_hgv,
DFW_DEPOT_NODE,MEX_DEPOT_NODE,depot_to_depot,road,1834.7,2.62,1.4,yes,350,yes,openrouteservice_matrix_driving_hgv,
DFW_DEPOT_NODE,MIA_DEPOT_CONTROL_NODE,depot_to_depot,road,2179.0,3.11,1.4,no,0,yes,openrouteservice_matrix_driving_hgv,
DFW_DEPOT_NODE,TOR_DEPOT_NODE,depot_to_depot,road,2357.0,3.37,1.65,yes,200,yes,openrouteservice_matrix_driving_hgv,
DFW_DEPOT_NODE,VAN_DEPOT_NODE,depot_to_depot,road,3540.8,5.06,1.65,yes,200,yes,openrouteservice_matrix_driving_hgv,
EWR_DEPOT_NODE,DFW_DEPOT_NODE,depot_to_depot,road,2596.3,3.71,1.4,no,0,yes,openrouteservice_matrix_driving_hgv,
EWR_DEPOT_NODE,LAX_DEPOT_NODE,depot_to_depot,road,4436.2,6.34,1.4,no,0,yes,openrouteservice_matrix_driving_hgv,
EWR_DEPOT_NODE,MEX_DEPOT_NODE,depot_to_depot,road,4329.4,6.18,1.4,yes,350,yes,openrouteservice_matrix_driving_hgv,
EWR_DEPOT_NODE,MIA_DEPOT_CONTROL_NODE,depot_to_depot,road,2045.5,2.92,1.4,no,0,yes,openrouteservice_matrix_driving_hgv,
EWR_DEPOT_NODE,TOR_DEPOT_NODE,depot_to_depot,road,776.3,1.11,1.65,yes,200,yes,openrouteservice_matrix_driving_hgv,
EWR_DEPOT_NODE,VAN_DEPOT_NODE,depot_to_depot,road,4807.2,6.87,1.65,yes,200,yes,openrouteservice_matrix_driving_hgv,
LAX_DEPOT_NODE,DFW_DEPOT_NODE,depot_to_depot,road,2233.1,3.19,1.4,no,0,yes,openrouteservice_matrix_driving_hgv,
LAX_DEPOT_NODE,EWR_DEPOT_NODE,depot_to_depot,road,4431.3,6.33,1.4,no,0,yes,openrouteservice_matrix_driving_hgv,
