stadium_id,node_id,fifa_venue_name,common_stadium_name,host_city,metro_area,country,venue_cluster,delivery_access_confidence,notes
TOR,STAD_TOR,Toronto Stadium,BMO Field,Toronto,Toronto,Canada,canada_east,medium,"Official FIFA venue name may differ from local sponsored name."
VAN,STAD_VAN,BC Place Vancouver,BC Place,Vancouver,Vancouver,Canada,canada_west,medium,"Official FIFA venue name may differ from local sponsored name."
MEX,STAD_MEX,Mexico City Stadium,Estadio Azteca,Mexico City,Mexico City,Mexico,mexico_central,medium,"Opening-match venue; official FIFA venue name may differ from local sponsored/common name."
MTY,STAD_MTY,Monterrey Stadium,Estadio BBVA,Monterrey,Monterrey,Mexico,mexico_north,medium,"Official FIFA venue name may differ from local sponsored name."
GDL,STAD_GDL,Guadalajara Stadium,Estadio Akron,Guadalajara,Guadalajara,Mexico,mexico_west,medium,"Official FIFA venue name may differ from local sponsored name."
ATL,STAD_ATL,Atlanta Stadium,Mercedes-Benz Stadium,Atlanta,Atlanta,USA,us_southeast,medium,"Official FIFA venue name may differ from local sponsored name."
BOS,STAD_BOS,Boston Stadium,Gillette Stadium,Foxborough,Boston,USA,us_northeast,medium,"Official FIFA venue name may differ from local sponsored name."
DAL,STAD_DAL,Dallas Stadium,AT&T Stadium,Arlington,Dallas-Fort Worth,USA,us_central,medium,"Official FIFA venue name may differ from local sponsored name."
HOU,STAD_HOU,Houston Stadium,NRG Stadium,Houston,Houston,USA,us_gulf,medium,"Official FIFA venue name may differ from local sponsored name."
KC,STAD_KC,Kansas City Stadium,Arrowhead Stadium,Kansas City,Kansas City,USA,us_central,medium,"Official FIFA venue name may differ from local sponsored name."
LA,STAD_LA,Los Angeles Stadium,SoFi Stadium,Inglewood,Los Angeles,USA,us_west,medium,"Official FIFA venue name may differ from local sponsored name."
MIA,STAD_MIA,Miami Stadium,Hard Rock Stadium,Miami Gardens,Miami,USA,us_southeast,medium,"Official FIFA venue name may differ from local sponsored name."
NY_NJ,STAD_NY_NJ,New York New Jersey Stadium,MetLife Stadium,East Rutherford,New York / New Jersey,USA,us_northeast,medium,"Final venue; official FIFA venue name may differ from local sponsored name."
PHI,STAD_PHI,Philadelphia Stadium,Lincoln Financial Field,Philadelphia,Philadelphia,USA,us_northeast,medium,"Official FIFA venue name may differ from local sponsored name."
SF,STAD_SF,San Francisco Bay Area Stadium,Levi's Stadium,Santa Clara,San Francisco Bay Area,USA,us_west,medium,"Official FIFA venue name may differ from local sponsored name."
SEA,STAD_SEA,Seattle Stadium,Lumen Field,Seattle,Seattle,USA,us_west,medium,"Official FIFA venue name may differ from local sponsored name."
